chunk_entrada,status,timestamp,worker_id
000016,em_processamento,2026-02-11T10:00:22.510064,worker-af56a6f1
000016,em_processamento,2026-02-11T10:04:26.109523,worker-af56a6f1
000016,em_processamento,2026-02-11T10:08:58.768316,worker-af56a6f1
000016,concluido,2026-02-11T10:17:50.128552,worker-af56a6f1
000017,em_processamento,2026-02-11T10:17:56.487453,worker-af56a6f1
000017,em_processamento,2026-02-11T10:22:30.536223,worker-af56a6f1
000017,em_processamento,2026-02-11T10:27:36.158970,worker-af56a6f1
000017,em_processamento,2026-02-11T10:32:12.623984,worker-af56a6f1
000017,em_processamento,2026-02-11T10:36:25.672371,worker-af56a6f1
000017,em_processamento,2026-02-11T10:39:46.348614,worker-af56a6f1
000017,concluido,2026-02-11T10:39:47.158812,worker-af56a6f1
000018,em_processamento,2026-02-11T10:39:53.189519,worker-af56a6f1
000018,em_processamento,2026-02-11T10:44:28.191649,worker-af56a6f1
000018,em_processamento,2026-02-11T10:47:33.614250,worker-af56a6f1
000018,em_processamento,2026-02-11T10:52:02.551411,worker-af56a6f1
000018,em_processamento,2026-02-11T10:55:15.048766,worker-af56a6f1
000018,em_processamento,2026-02-11T10:58:59.946563,worker-af56a6f1
000018,concluido,2026-02-11T10:59:01.115301,worker-af56a6f1
000019,em_processamento,2026-02-11T10:59:07.409200,worker-af56a6f1
000019,em_processamento,2026-02-11T11:05:41.309884,worker-af56a6f1
000019,em_processamento,2026-02-11T11:11:57.960780,worker-af56a6f1
000019,em_processamento,2026-02-11T11:16:33.616162,worker-af56a6f1
000019,em_processamento,2026-02-11T11:19:40.180887,worker-af56a6f1
000019,em_processamento,2026-02-11T11:23:48.970718,worker-af56a6f1
000019,concluido,2026-02-11T11:23:49.919426,worker-af56a6f1
000020,em_processamento,2026-02-11T11:23:56.104195,worker-af56a6f1
000020,em_processamento,2026-02-11T11:26:24.113889,worker-af56a6f1
000020,em_processamento,2026-02-11T11:29:45.276385,worker-af56a6f1
000020,em_processamento,2026-02-11T11:32:56.490402,worker-af56a6f1
000020,em_processamento,2026-02-11T11:35:46.310761,worker-af56a6f1
000020,em_processamento,2026-02-11T11:38:12.174629,worker-af56a6f1
000020,concluido,2026-02-11T11:38:13.035221,worker-af56a6f1
000021,em_processamento,2026-02-11T11:38:18.997766,worker-af56a6f1
000021,em_processamento,2026-02-11T11:41:07.646955,worker-af56a6f1
000021,em_processamento,2026-02-11T11:43:53.321898,worker-af56a6f1
000021,em_processamento,2026-02-11T11:46:37.027798,worker-af56a6f1
000021,em_processamento,2026-02-11T11:50:40.007831,worker-af56a6f1
000021,em_processamento,2026-02-11T11:57:49.274846,worker-af56a6f1
000021,concluido,2026-02-11T11:57:50.638498,worker-af56a6f1
000022,em_processamento,2026-02-11T11:57:56.743894,worker-af56a6f1
000022,em_processamento,2026-02-11T12:02:33.779926,worker-af56a6f1
000022,em_processamento,2026-02-11T12:05:59.708134,worker-af56a6f1
000022,em_processamento,2026-02-11T12:11:03.554753,worker-af56a6f1
000022,em_processamento,2026-02-11T12:14:03.185711,worker-af56a6f1
000022,concluido,2026-02-11T12:18:53.608281,worker-af56a6f1
000023,em_processamento,2026-02-11T12:19:00.899879,worker-af56a6f1
000023,em_processamento,2026-02-11T12:22:04.123982,worker-af56a6f1
000023,em_processamento,2026-02-11T12:26:34.717418,worker-af56a6f1
